id,condition,trial,gamblep,gamblex,value,gambleid,gambletype,samplesize,confidence,samplesizecat
s01,experience,1,0.1428571,28,20.4,3,$-bet,14,4,s
s01,experience,2,0.16666667,12,11.3,2,$-bet,6,5,xs
s01,experience,3,0.8333333,2.4,0.4,5,p-bet,6,5,xs
s01,experience,4,0.2,16,14.4,1,$-bet,5,4,xs
s01,experience,5,0.8,4,1.2,4,p-bet,5,4,xs
s01,experience,6,0.16666667,12,10.5,2,$-bet,36,5,l
s01,experience,7,0.8333333,2.4,1,5,p-bet,12,2,s
s01,experience,8,0.8,4,1.2,4,p-bet,10,4,s
s01,experience,9,0.8571429,4.7,1.2,6,p-bet,7,5,xs
s01,experience,10,0.16666667,12,8.9,2,$-bet,12,4,s
s01,experience,12,0.8,4,0.6,4,p-bet,15,5,m
s01,experience,13,0.8333333,2.4,0.9,5,p-bet,12,4,s
s01,experience,14,0.8,4,1.2,4,p-bet,5,5,xs
s01,experience,15,0.8,4,2.3,4,p-bet,30,5,l
s01,experience,16,0.8571429,4.7,1.2,6,p-bet,21,4,m
s01,experience,17,0.8333333,2.4,0.2,5,p-bet,18,5,m
s01,experience,18,0.8,4,0.9,4,p-bet,5,5,xs
s01,experience,19,0.8333333,2.4,1.3,5,p-bet,6,4,xs
s01,experience,20,0.8333333,2.4,1.3,5,p-bet,12,4,s
s01,experience,21,0.1428571,28,20.5,3,$-bet,21,4,m
s01,experience,22,0.2,16,9.2,1,$-bet,10,4,s
s01,experience,23,0.8333333,2.4,0.9,5,p-bet,18,4,m
s01,experience,24,0.8571429,4.7,3.6,6,p-bet,21,5,m
s01,experience,26,0.16666667,12,6,2,$-bet,12,4,s
s01,experience,27,0.8571429,4.7,4,6,p-bet,42,4,l
s01,experience,28,0.8571429,4.7,4.5,6,p-bet,42,4,l
s01,experience,29,0.8571429,4.7,4.5,6,p-bet,14,4,s
s01,experience,32,0.1428571,28,6.8,3,$-bet,7,4,xs
s01,experience,33,0.16666667,12,4.7,2,$-bet,6,5,xs
s01,experience,34,0.16666667,12,4.7,2,$-bet,18,4,m
s01,experience,35,0.16666667,12,3.4,2,$-bet,18,4,m
s01,experience,36,0.2,16,5.6,1,$-bet,15,4,m
s01,experience,37,0.2,16,4.6,1,$-bet,10,5,s
s01,experience,38,0.2,16,5.3,1,$-bet,15,3,m
s01,experience,39,0.2,16,5.6,1,$-bet,15,4,m
s01,experience,42,0.1428571,28,5.7,3,$-bet,7,4,xs
s01,experience,43,0.2,16,6.3,1,$-bet,30,4,l
s01,experience,45,0.1428571,28,3.4,3,$-bet,14,4,s
s01,experience,46,0.8333333,2.4,2,5,p-bet,36,4,l
s01,experience,47,0.1428571,28,6.4,3,$-bet,21,3,m
s01,experience,48,0.8571429,4.7,1.2,6,p-bet,14,4,s
s01,experience,50,0.8333333,2.4,2,5,p-bet,18,3,m
s01,experience,51,0.16666667,12,6,2,$-bet,18,3,m
s01,experience,53,0.1428571,28,14,3,$-bet,42,3,l
s01,experience,54,0.2,16,5.6,1,$-bet,30,4,l
s01,experience,56,0.8,4,3.5,4,p-bet,30,4,l
s01,experience,57,0.2,16,4.5,1,$-bet,5,3,xs
s01,experience,58,0.2,16,6.8,1,$-bet,30,2,l
s01,experience,59,0.8571429,4.7,4.6,6,p-bet,42,4,l
s01,experience,61,0.8571429,4.7,3.4,6,p-bet,7,3,xs
s01,experience,63,0.8,4,3.5,4,p-bet,10,4,s
s01,experience,64,0.8,4,3.8,4,p-bet,30,4,l
s01,experience,67,0.2,16,4.5,1,$-bet,10,3,s
s01,experience,68,0.16666667,12,3.2,2,$-bet,6,3,xs
s01,experience,69,0.8,4,3.1,4,p-bet,15,4,m
s01,experience,70,0.8333333,2.4,2,5,p-bet,36,4,l
s01,experience,71,0.1428571,28,4,3,$-bet,42,3,l
s01,experience,73,0.8571429,4.7,4.1,6,p-bet,7,4,xs
s01,experience,74,0.8,4,3.4,4,p-bet,15,5,m
s01,experience,75,0.8,4,3.4,4,p-bet,10,5,s
s01,experience,76,0.8571429,4.7,4.3,6,p-bet,21,4,m
s01,experience,77,0.2,16,3.4,1,$-bet,5,4,xs
s01,experience,78,0.1428571,28,3.2,3,$-bet,14,4,s
s01,experience,80,0.8571429,4.7,4.5,6,p-bet,14,4,s
s01,experience,81,0.16666667,12,3.1,2,$-bet,36,4,l
s01,experience,82,0.1428571,28,3.7,3,$-bet,7,5,xs
s01,experience,84,0.8333333,2.4,2,5,p-bet,6,4,xs
s01,experience,85,0.1428571,28,10,3,$-bet,21,3,m
s01,experience,86,0.1428571,28,10,3,$-bet,42,3,l
s01,experience,87,0.16666667,12,3.2,2,$-bet,12,4,s
s01,experience,88,0.8333333,2.4,2.3,5,p-bet,36,5,l
s01,experience,90,0.16666667,12,4.5,2,$-bet,36,2,l
s01,description,1,0.167,12,3.2,2,$-bet,,4,--
s01,description,2,0.8,4,3.5,4,p-bet,,5,--
s01,description,3,0.857,4.7,4,6,p-bet,,3,--
s01,description,4,0.143,28,5.6,3,$-bet,,3,--
s01,description,5,0.857,4.7,3.4,6,p-bet,,4,--
s01,description,6,0.8,4,3,4,p-bet,,6,--
s01,description,7,0.2,16,8.7,1,$-bet,,4,--
s01,description,8,0.143,28,9.8,3,$-bet,,4,--
s01,description,9,0.143,28,5.4,3,$-bet,,4,--
