id,condition,trial,gambleid,gambletype,gamblep,gamblex,samplesizecat,samplesize,value,confidence
s41,experience,1,4,p-bet,0.8,4,s,10,1.9,5
s41,experience,2,2,$-bet,0.16666667,12,xs,6,2,5
s41,experience,3,5,p-bet,0.8333333,2.4,m,18,2.2,5
s41,experience,5,5,p-bet,0.8333333,2.4,l,36,2,5
s41,experience,6,2,$-bet,0.16666667,12,m,18,3,5
s41,experience,7,4,p-bet,0.8,4,l,30,3.3,5
s41,experience,9,2,$-bet,0.16666667,12,l,36,2,5
s41,experience,11,5,p-bet,0.8333333,2.4,xs,6,2.3,5
s41,experience,12,4,p-bet,0.8,4,xs,5,3.9,5
s41,experience,14,3,$-bet,0.1428571,28,s,14,6,5
s41,experience,15,6,p-bet,0.8571429,4.7,m,21,3.9,5
s41,experience,16,2,$-bet,0.16666667,12,l,36,3,5
s41,experience,18,3,$-bet,0.1428571,28,s,14,4,5
s41,experience,19,1,$-bet,0.2,16,m,15,4,5
s41,experience,20,1,$-bet,0.2,16,xs,5,3,4
s41,experience,22,3,$-bet,0.1428571,28,s,14,10,4
s41,experience,23,3,$-bet,0.1428571,28,m,21,4,5
s41,experience,24,2,$-bet,0.16666667,12,s,12,3,5
s41,experience,25,6,p-bet,0.8571429,4.7,l,42,3.4,5
s41,experience,26,6,p-bet,0.8571429,4.7,s,14,4.1,5
s41,experience,27,3,$-bet,0.1428571,28,m,21,4,5
s41,experience,29,1,$-bet,0.2,16,l,30,7,4
s41,experience,30,6,p-bet,0.8571429,4.7,l,42,4.2,5
s41,experience,31,3,$-bet,0.1428571,28,xs,7,2,5
s41,experience,34,6,p-bet,0.8571429,4.7,xs,7,4.5,4
s41,experience,35,6,p-bet,0.8571429,4.7,xs,7,4.5,5
s41,experience,36,1,$-bet,0.2,16,s,10,3,5
s41,experience,38,6,p-bet,0.8571429,4.7,s,14,4.6,4
s41,experience,40,1,$-bet,0.2,16,m,15,3,4
s41,experience,41,5,p-bet,0.8333333,2.4,l,36,2,5
s41,experience,42,2,$-bet,0.16666667,12,m,18,2,5
s41,experience,43,6,p-bet,0.8571429,4.7,l,42,4.4,5
s41,experience,44,5,p-bet,0.8333333,2.4,s,12,1.9,4
s41,experience,45,2,$-bet,0.16666667,12,s,12,2,4
s41,experience,46,3,$-bet,0.1428571,28,xs,7,2,5
s41,experience,47,1,$-bet,0.2,16,m,15,3,5
s41,experience,48,5,p-bet,0.8333333,2.4,s,12,2.1,5
s41,experience,49,4,p-bet,0.8,4,s,10,3,5
s41,experience,50,5,p-bet,0.8333333,2.4,xs,6,2.3,5
s41,experience,51,1,$-bet,0.2,16,s,10,2,4
s41,experience,52,4,p-bet,0.8,4,l,30,3,4
s41,experience,53,4,p-bet,0.8,4,m,15,3.2,5
s41,experience,54,1,$-bet,0.2,16,s,10,3,4
s41,experience,55,2,$-bet,0.16666667,12,m,18,4,4
s41,experience,59,2,$-bet,0.16666667,12,l,36,3.5,4
s41,experience,60,2,$-bet,0.16666667,12,xs,6,1,5
s41,experience,61,3,$-bet,0.1428571,28,m,21,4,5
s41,experience,63,4,p-bet,0.8,4,xs,5,2,4
s41,experience,64,5,p-bet,0.8333333,2.4,m,18,2.3,5
s41,experience,65,3,$-bet,0.1428571,28,l,42,5,4
s41,experience,66,4,p-bet,0.8,4,xs,5,3,5
s41,experience,68,3,$-bet,0.1428571,28,xs,7,2,5
s41,experience,69,6,p-bet,0.8571429,4.7,m,21,4,5
s41,experience,70,5,p-bet,0.8333333,2.4,xs,6,1.9,4
s41,experience,71,2,$-bet,0.16666667,12,s,12,1,5
s41,experience,72,2,$-bet,0.16666667,12,xs,6,1,5
s41,experience,73,4,p-bet,0.8,4,m,15,3,4
s41,experience,75,6,p-bet,0.8571429,4.7,m,21,3.5,5
s41,experience,76,4,p-bet,0.8,4,s,10,3,5
s41,experience,77,5,p-bet,0.8333333,2.4,m,18,1.9,4
s41,experience,79,6,p-bet,0.8571429,4.7,s,14,3.2,4
s41,experience,80,4,p-bet,0.8,4,l,30,3.5,5
s41,experience,81,3,$-bet,0.1428571,28,l,42,2,5
s41,experience,82,5,p-bet,0.8333333,2.4,l,36,1.5,4
s41,experience,83,1,$-bet,0.2,16,l,30,3,5
s41,experience,84,1,$-bet,0.2,16,xs,5,2,4
s41,experience,85,6,p-bet,0.8571429,4.7,xs,7,4,5
s41,experience,86,4,p-bet,0.8,4,m,15,3.5,5
s41,experience,87,3,$-bet,0.1428571,28,l,42,4,5
s41,experience,88,5,p-bet,0.8333333,2.4,s,12,2,5
s41,experience,89,1,$-bet,0.2,16,xs,5,1,5
s41,experience,90,1,$-bet,0.2,16,l,30,1.5,5
s41,description,1,6,p-bet,0.857,4.7,--,,3.9,4
s41,description,2,3,$-bet,0.143,28,--,,2,4
s41,description,3,1,$-bet,0.2,16,--,,2,4
s41,description,4,6,p-bet,0.857,4.7,--,,3.5,5
s41,description,5,4,p-bet,0.8,4,--,,3.5,4
s41,description,6,3,$-bet,0.143,28,--,,3,4
